System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
HD 164509,G2V,1999MSS...C05....0H,Gaia DR3 4275421969292868224,270.38008,0.016202902,0.104465662,0.015971951,18.61552854,0.021881752,53.6103,53.6666,53.5427,-7.876353618,0.021389786,-20.46164134,0.019880105,21.92523,13.562283,0.13872524
HD 164595,G2V,1970AJ.....75..507H,Gaia DR3 4584639307993378432,270.1613502,0.010296538,29.57269385,0.013059141,35.40197794,0.014562073,28.1656,28.1865,28.1383,-138.9818127,0.012895981,173.5020964,0.0156135,222.30367,1.9887282,0.12407725
HD 170469,G5,1993yCat.3135....0C,Gaia DR3 4484013343859055744,277.2955354,0.018533817,11.69542184,0.01925682,16.57318734,0.023059517,60.2299,60.3245,60.1266,-48.2766197,0.02358994,-17.79138687,0.025816463,51.45061,-59.344173,0.12945485
HD 177830,K0+M4V,2015AJ....150..103R,Gaia DR3 2035963417721248128,286.3363511,0.009085716,25.92042534,0.013295014,16.00629602,0.016456528,--,--,--,-41.24770874,0.011535249,-52.58040108,0.017127749,66.828674,-72.270805,0.11962795
HD 178911,G1V+K1V,2014AJ....148...48F,Gaia DR3 2044341077844183040,287.2685428,0.63276976,34.60126579,0.8587986,--,--,--,--,--,--,--,--,--,--,-41.652843,4.521365
HD 180617,M3-V,1989ApJS...71..245K,Gaia DR3 4293318823182081408,289.2276515,0.01995468,5.162976303,0.01894904,169.0615053,0.023926072,5.9095,5.9179,5.886,-579.0805297,0.024688331,-1332.867716,0.021144519,1453.2277,35.329697,0.13070686
HD 180902,K0III/IV,1988MSS...C04....0H,Gaia DR3 6770721346051487872,289.8239661,0.019261656,-23.55824605,0.016281215,9.515695219,0.021209944,106.8738,107.0917,106.6366,37.83153957,0.0219272,-20.33426822,0.017970385,42.95006,-3.2713704,0.13683005
HD 185269,G2V,1969AJ.....74..916H,Gaia DR3 2031479093959232128,294.2987619,0.010781099,28.49950269,0.013587195,19.24225944,0.018206649,51.8846,51.9316,51.8389,-31.56341344,0.01529495,-81.08241077,0.018166473,87.00923,0.6801144,0.120384894
HD 188015,G5IV,,Gaia DR3 2028419118720795392,298.019194,0.012030955,28.09996401,0.014150579,19.70036131,0.019411655,50.7775,52.0019,50.6126,52.80947669,0.01532088,-92.16625206,0.017297145,106.223625,0.16413224,0.12052653
HD 189733,K2V,2003AJ....126.2048G,Gaia DR3 1827242816201846144,300.1821218,0.009658503,22.70974111,0.011860526,50.56684941,0.016198024,19.7679,19.7801,19.7604,-3.208339785,0.011052146,-250.3233309,0.013954463,250.34389,-2.531722,0.122242704
HD 190360,G7IV-V,2006AJ....132..161G,Gaia DR3 2029433521248546304,300.9093571,0.020898439,29.89446794,0.026556011,62.48650893,0.03535643,15.9992,16.0182,15.9873,683.1962193,0.027248329,-525.501037,0.036196236,861.9213,-45.338062,0.11665686
HD 195019,G1V,2001AJ....121.2148G,Gaia DR3 1815418118373631360,307.079294,0.012170137,18.76924294,0.013125293,26.64647931,0.022455148,37.3538,37.4483,37.1984,349.6197744,0.015586267,-56.61835906,0.01876193,354.17456,-91.263794,0.119012125
HD 196050,G3V,1975MSS...C01....0H,Gaia DR3 6454954010413575296,309.4637255,0.012968217,-60.63477399,0.01256686,19.78715644,0.020504005,50.5923,51.0562,50.4408,-191.1176912,0.013689691,-65.01991683,0.015212666,201.8751,61.372757,0.124192365
HD 196067,G0V,2006AJ....132..161G,Gaia DR3 6369544118965772416,310.4365054,0.014637662,-75.3515218,0.017657673,25.03272492,0.020531353,39.9381,39.9914,39.904,156.4041281,0.019299628,-162.2141517,0.022437656,225.3346,-11.00263,0.12329576
HD 196885,F8V,2001AJ....121.2148G,Gaia DR3 1754430373040023168,309.966471,0.020398349,11.25003591,0.015098949,29.40764877,0.027209938,33.966,33.9985,33.935,71.91462357,0.031676054,89.31770958,0.02572654,114.670685,-31.088703,0.13031945
HD 197037,G0,1993yCat.3135....0C,Gaia DR3 2066437688140905600,309.8869563,0.010640309,42.2475621,0.013249483,30.22857799,0.014290423,33.0502,33.0668,33.0331,-62.74458864,0.014368663,-222.1683289,0.017047448,230.8585,8.888768,0.12550311
HD 19994,F8.5V,2003AJ....126.2048G,Gaia DR3 3265335443260522112,48.19434612,0.13297834,-1.196405011,0.09882143,43.70273456,0.13252045,--,--,--,193.5488472,0.15142389,-68.88848442,0.11010126,205.44289,19.302824,0.12092308
HD 202206,G6V,1988MSS...C04....0H,Gaia DR3 6832155218215202944,318.7405163,0.02205593,-20.78974517,0.0164954,21.93920162,0.027478134,45.4651,45.6705,45.3592,-39.17349531,0.027121015,-120.0684614,0.02249806,126.297264,14.6255045,0.18853752
HD 202772,G8/K1+A/F,1982MSS...C03....0H,,,,,,,,,,,,,,,,,
HD 204941,K2V,2006AJ....132..161G,Gaia DR3 6830027182179257472,323.09663,0.020023622,-20.95797437,0.017491473,34.88297299,0.027438005,28.6146,28.6368,28.5921,-278.8681662,0.026948908,-124.3147887,0.020303879,305.32217,32.47982,0.12799987
HD 20781,G9.5V,2006AJ....132..161G,Gaia DR3 5060105897197110144,50.01403102,0.009684992,-28.78412676,0.015486894,27.81232305,0.02385499,35.8977,35.9382,35.86,348.8686604,0.014826859,-66.61443733,0.018604925,355.17154,40.27011,0.12039765
HD 20782,G1.5V,2006AJ....132..161G,Gaia DR3 5060104351007433472,50.01667856,0.007146744,-28.85436258,0.011086379,27.8759604,0.017160077,35.8082,35.8425,35.6724,349.0538299,0.010815701,-65.30521476,0.013250487,355.11032,39.849407,0.117954694
HD 207832,G5V,1982MSS...C03....0H,Gaia DR3 6812056381881853056,328.1518093,0.012741716,-26.02719486,0.012613678,16.88968602,0.015134322,58.9495,59.009,58.8939,129.3098843,0.01602199,-143.132023,0.015297837,192.8933,-16.753683,0.12498664
HD 212301,F8V,1975MSS...C01....0H,Gaia DR3 6356860393345181824,336.880446,0.013938213,-77.71833483,0.015422077,18.48491511,0.017732732,54.0564,54.1116,54.0018,76.78182152,0.02190538,-92.4124135,0.02170964,120.147835,4.6076446,0.1271446
HD 213240,G0/1V,1978MSS...C02....0H,Gaia DR3 6517058790835773440,337.7505976,0.013644517,-49.43413069,0.01645279,24.42466879,0.020756882,40.8963,40.9309,40.8624,-135.9123062,0.016845256,-193.844181,0.019897863,236.744,-0.36914852,0.123482466
HD 214823,G0,1993yCat.3135....0C,Gaia DR3 1889143121789650176,340.0832194,0.017187387,31.78751574,0.023764944,9.879512134,0.030773778,99.4496,100.5092,94.0853,81.27681211,0.024196185,-18.07960606,0.032722887,83.26339,-44.1388,0.15668713
HD 217786,F8V,1999MSS...C05....0H,Gaia DR3 2650902026099857920,345.7837966,0.0911366,-0.430382999,0.07127645,18.19369557,0.106383786,55.7822,56.1558,55.4652,-88.68205795,0.10025106,-169.4895916,0.08652145,191.28835,10.0128145,0.1437263
HD 220842,F8,1993yCat.3135....0C,Gaia DR3 1997273733835247616,351.6533934,0.013532719,56.88716126,0.014349286,15.39849422,0.018254146,64.8329,64.9186,64.7529,-89.18171931,0.016901331,143.0733792,0.017088117,168.59232,-22.660078,0.1330972
HD 222582,G5V,1999MSS...C05....0H,Gaia DR3 2440578577126302336,355.4640585,0.021773372,-5.986253467,0.017591424,23.795509,0.023837755,41.9626,42.0033,41.9171,-145.4915603,0.028769132,-111.4584901,0.021433381,183.27791,12.04019,0.1267504
